# Monthly total ERA5 precipitation for PAFA, lon/lat = 212.0/64.75
# Chris Waigl, cwaigl@alaska.edu, 2025-10-29 02:01:45.180680
Time,tp,year,month
1981-01-31,0.008,1981,1
1981-02-28,0.025,1981,2
1981-03-31,0.011,1981,3
1981-04-30,0.015,1981,4
1981-05-31,0.036,1981,5
1981-06-30,0.083,1981,6
1981-07-31,0.142,1981,7
1981-08-31,0.072,1981,8
1981-09-30,0.033,1981,9
1981-10-31,0.028,1981,10
1981-11-30,0.020,1981,11
1981-12-31,0.014,1981,12
1982-01-31,0.006,1982,1
1982-02-28,0.016,1982,2
1982-03-31,0.011,1982,3
1982-04-30,0.034,1982,4
1982-05-31,0.054,1982,5
1982-06-30,0.049,1982,6
1982-07-31,0.129,1982,7
1982-08-31,0.041,1982,8
1982-09-30,0.043,1982,9
1982-10-31,0.046,1982,10
1982-11-30,0.027,1982,11
1982-12-31,0.010,1982,12
1983-01-31,0.011,1983,1
1983-02-28,0.004,1983,2
1983-03-31,0.003,1983,3
1983-04-30,0.017,1983,4
1983-05-31,0.017,1983,5
1983-06-30,0.031,1983,6
1983-07-31,0.059,1983,7
1983-08-31,0.094,1983,8
1983-09-30,0.037,1983,9
1983-10-31,0.054,1983,10
1983-11-30,0.004,1983,11
1983-12-31,0.013,1983,12
1984-01-31,0.018,1984,1
1984-02-29,0.016,1984,2
1984-03-31,0.002,1984,3
1984-04-30,0.009,1984,4
1984-05-31,0.056,1984,5
1984-06-30,0.061,1984,6
1984-07-31,0.136,1984,7
1984-08-31,0.068,1984,8
1984-09-30,0.020,1984,9
1984-10-31,0.021,1984,10
1984-11-30,0.008,1984,11
1984-12-31,0.076,1984,12
1985-01-31,0.018,1985,1
1985-02-28,0.022,1985,2
1985-03-31,0.020,1985,3
1985-04-30,0.013,1985,4
1985-05-31,0.021,1985,5
1985-06-30,0.093,1985,6
1985-07-31,0.034,1985,7
1985-08-31,0.071,1985,8
1985-09-30,0.089,1985,9
1985-10-31,0.040,1985,10
1985-11-30,0.031,1985,11
1985-12-31,0.010,1985,12
1986-01-31,0.006,1986,1
1986-02-28,0.008,1986,2
1986-03-31,0.008,1986,3
1986-04-30,0.005,1986,4
1986-05-31,0.025,1986,5
1986-06-30,0.051,1986,6
1986-07-31,0.124,1986,7
1986-08-31,0.076,1986,8
1986-09-30,0.036,1986,9
1986-10-31,0.060,1986,10
1986-11-30,0.017,1986,11
1986-12-31,0.019,1986,12
1987-01-31,0.023,1987,1
1987-02-28,0.002,1987,2
1987-03-31,0.003,1987,3
1987-04-30,0.010,1987,4
1987-05-31,0.009,1987,5
1987-06-30,0.031,1987,6
