# Monthly total ERA5 precipitation for PABE, lon/lat = 198.25/60.75
# Chris Waigl, cwaigl@alaska.edu, 2025-10-29 02:01:44.070083
Time,tp,year,month
1981-01-31,0.076,1981,1
1981-02-28,0.043,1981,2
1981-03-31,0.030,1981,3
1981-04-30,0.033,1981,4
1981-05-31,0.052,1981,5
1981-06-30,0.056,1981,6
1981-07-31,0.047,1981,7
1981-08-31,0.096,1981,8
1981-09-30,0.047,1981,9
1981-10-31,0.067,1981,10
1981-11-30,0.076,1981,11
1981-12-31,0.049,1981,12
1982-01-31,0.070,1982,1
1982-02-28,0.025,1982,2
1982-03-31,0.070,1982,3
1982-04-30,0.046,1982,4
1982-05-31,0.072,1982,5
1982-06-30,0.082,1982,6
1982-07-31,0.096,1982,7
1982-08-31,0.088,1982,8
1982-09-30,0.181,1982,9
1982-10-31,0.082,1982,10
1982-11-30,0.075,1982,11
1982-12-31,0.037,1982,12
1983-01-31,0.011,1983,1
1983-02-28,0.009,1983,2
1983-03-31,0.006,1983,3
1983-04-30,0.069,1983,4
1983-05-31,0.036,1983,5
1983-06-30,0.032,1983,6
1983-07-31,0.053,1983,7
1983-08-31,0.069,1983,8
1983-09-30,0.067,1983,9
1983-10-31,0.074,1983,10
1983-11-30,0.071,1983,11
1983-12-31,0.046,1983,12
1984-01-31,0.031,1984,1
1984-02-29,0.002,1984,2
1984-03-31,0.025,1984,3
1984-04-30,0.027,1984,4
1984-05-31,0.029,1984,5
1984-06-30,0.046,1984,6
1984-07-31,0.048,1984,7
1984-08-31,0.064,1984,8
1984-09-30,0.030,1984,9
1984-10-31,0.015,1984,10
1984-11-30,0.030,1984,11
1984-12-31,0.105,1984,12
1985-01-31,0.027,1985,1
1985-02-28,0.027,1985,2
1985-03-31,0.059,1985,3
1985-04-30,0.012,1985,4
1985-05-31,0.077,1985,5
1985-06-30,0.054,1985,6
1985-07-31,0.045,1985,7
1985-08-31,0.146,1985,8
1985-09-30,0.127,1985,9
1985-10-31,0.079,1985,10
1985-11-30,0.051,1985,11
1985-12-31,0.040,1985,12
1986-01-31,0.022,1986,1
1986-02-28,0.035,1986,2
1986-03-31,0.001,1986,3
1986-04-30,0.024,1986,4
1986-05-31,0.034,1986,5
1986-06-30,0.056,1986,6
1986-07-31,0.065,1986,7
1986-08-31,0.162,1986,8
1986-09-30,0.076,1986,9
1986-10-31,0.057,1986,10
1986-11-30,0.069,1986,11
1986-12-31,0.037,1986,12
1987-01-31,0.030,1987,1
1987-02-28,0.024,1987,2
1987-03-31,0.020,1987,3
1987-04-30,0.015,1987,4
1987-05-31,0.067,1987,5
1987-06-30,0.063,1987,6
1987-07-31,0.056,1987,7
1987-08-31,0.065,1987,8
1987-09-30,0.059,1987,9
1987-10-31,0.076,1987,10
1987-11-30,0.033,1987,11
1987-12-31,0.059,1987,12
1988-01-31,0.030,1988,1
1988-02-29,0.040,1988,2
1988-03-31,0.037,1988,3
