# Monthly total ERA5 precipitation for PANC, lon/lat = 210.0/61.25
# Chris Waigl, cwaigl@alaska.edu, 2025-10-29 02:01:46.310847
Time,tp,year,month
1981-01-31,0.145,1981,1
1981-02-28,0.063,1981,2
1981-03-31,0.069,1981,3
1981-04-30,0.008,1981,4
1981-05-31,0.032,1981,5
1981-06-30,0.049,1981,6
1981-07-31,0.146,1981,7
1981-08-31,0.205,1981,8
1981-09-30,0.074,1981,9
1981-10-31,0.110,1981,10
1981-11-30,0.100,1981,11
1981-12-31,0.077,1981,12
1982-01-31,0.010,1982,1
1982-02-28,0.023,1982,2
1982-03-31,0.036,1982,3
1982-04-30,0.026,1982,4
1982-05-31,0.031,1982,5
1982-06-30,0.083,1982,6
1982-07-31,0.096,1982,7
1982-08-31,0.086,1982,8
1982-09-30,0.184,1982,9
1982-10-31,0.096,1982,10
1982-11-30,0.074,1982,11
1982-12-31,0.097,1982,12
1983-01-31,0.034,1983,1
1983-02-28,0.036,1983,2
1983-03-31,0.004,1983,3
1983-04-30,0.077,1983,4
1983-05-31,0.035,1983,5
1983-06-30,0.041,1983,6
1983-07-31,0.045,1983,7
1983-08-31,0.143,1983,8
1983-09-30,0.089,1983,9
1983-10-31,0.105,1983,10
1983-11-30,0.073,1983,11
1983-12-31,0.022,1983,12
1984-01-31,0.086,1984,1
1984-02-29,0.063,1984,2
1984-03-31,0.030,1984,3
1984-04-30,0.053,1984,4
1984-05-31,0.026,1984,5
1984-06-30,0.060,1984,6
1984-07-31,0.072,1984,7
1984-08-31,0.107,1984,8
1984-09-30,0.088,1984,9
1984-10-31,0.061,1984,10
1984-11-30,0.033,1984,11
1984-12-31,0.068,1984,12
1985-01-31,0.123,1985,1
1985-02-28,0.044,1985,2
1985-03-31,0.067,1985,3
1985-04-30,0.033,1985,4
1985-05-31,0.044,1985,5
1985-06-30,0.064,1985,6
1985-07-31,0.067,1985,7
1985-08-31,0.142,1985,8
1985-09-30,0.129,1985,9
1985-10-31,0.033,1985,10
1985-11-30,0.020,1985,11
1985-12-31,0.134,1985,12
1986-01-31,0.091,1986,1
1986-02-28,0.065,1986,2
1986-03-31,0.029,1986,3
1986-04-30,0.018,1986,4
1986-05-31,0.026,1986,5
1986-06-30,0.025,1986,6
1986-07-31,0.083,1986,7
1986-08-31,0.150,1986,8
1986-09-30,0.088,1986,9
1986-10-31,0.160,1986,10
1986-11-30,0.079,1986,11
1986-12-31,0.127,1986,12
1987-01-31,0.119,1987,1
1987-02-28,0.045,1987,2
1987-03-31,0.025,1987,3
1987-04-30,0.017,1987,4
1987-05-31,0.045,1987,5
1987-06-30,0.071,1987,6
1987-07-31,0.092,1987,7
1987-08-31,0.038,1987,8
1987-09-30,0.122,1987,9
1987-10-31,0.171,1987,10
1987-11-30,0.078,1987,11
1987-12-31,0.072,1987,12
1988-01-31,0.037,1988,1
1988-02-29,0.061,1988,2
1988-03-31,0.094,1988,3
1988-04-30,0.075,1988,4
1988-05-31,0.030,1988,5
1988-06-30,0.050,1988,6
1988-07-31,0.056,1988,7
1988-08-31,0.111,1988,8
1988-09-30,0.081,1988,9
1988-10-31,0.116,1988,10
1988-11-30,0.047,1988,11
1988-12-31,0.115,1988,12
1989-01-31,0.043,1989,1
1989-02-28,0.016,1989,2
1989-03-31,0.010,1989,3
1989-04-30,0.040,1989,4
1989-05-31,0.072,1989,5
1989-06-30,0.050,1989,6
1989-07-31,0.107,1989,7
1989-08-31,0.264,1989,8
1989-09-30,0.168,1989,9
1989-10-31,0.185,1989,10
1989-11-30,0.086,1989,11
1989-12-31,0.105,1989,12
1990-01-31,0.086,1990,1
1990-02-28,0.057,1990,2
1990-03-31,0.062,1990,3
1990-04-30,0.019,1990,4
1990-05-31,0.025,1990,5
1990-06-30,0.053,1990,6
1990-07-31,0.066,1990,7
1990-08-31,0.100,1990,8
1990-09-30,0.220,1990,9
1990-10-31,0.074,1990,10
1990-11-30,0.042,1990,11
1990-12-31,0.088,1990,12
1991-01-31,0.054,1991,1
1991-02-28,0.035,1991,2
1991-03-31,0.052,1991,3
1991-04-30,0.026,1991,4
1991-05-31,0.027,1991,5
1991-06-30,0.014,1991,6
1991-07-31,0.127,1991,7
1991-08-31,0.101,1991,8
1991-09-30,0.135,1991,9
1991-10-31,0.070,1991,10
1991-11-30,0.039,1991,11
1991-12-31,0.122,1991,12
1992-01-31,0.080,1992,1
1992-02-29,0.060,1992,2
1992-03-31,0.080,1992,3
1992-04-30,0.017,1992,4
1992-05-31,0.021,1992,5
1992-06-30,0.052,1992,6
1992-07-31,0.073,1992,7
1992-08-31,0.095,1992,8
1992-09-30,0.067,1992,9
1992-10-31,0.103,1992,10
1992-11-30,0.129,1992,11
1992-12-31,0.059,1992,12
1993-01-31,0.067,1993,1
1993-02-28,0.064,1993,2
1993-03-31,0.031,1993,3
1993-04-30,0.019,1993,4
1993-05-31,0.026,1993,5
1993-06-30,0.029,1993,6
1993-07-31,0.034,1993,7
1993-08-31,0.148,1993,8
1993-09-30,0.164,1993,9
1993-10-31,0.081,1993,10
1993-11-30,0.092,1993,11
1993-12-31,0.093,1993,12
1994-01-31,0.044,1994,1
1994-02-28,0.018,1994,2
1994-03-31,0.090,1994,3
1994-04-30,0.033,1994,4
1994-05-31,0.034,1994,5
1994-06-30,0.049,1994,6
1994-07-31,0.059,1994,7
1994-08-31,0.046,1994,8
1994-09-30,0.098,1994,9
1994-10-31,0.086,1994,10
1994-11-30,0.112,1994,11
1994-12-31,0.105,1994,12
1995-01-31,0.048,1995,1
1995-02-28,0.056,1995,2
1995-03-31,0.065,1995,3
1995-04-30,0.033,1995,4
1995-05-31,0.063,1995,5
1995-06-30,0.055,1995,6
1995-07-31,0.144,1995,7
1995-08-31,0.086,1995,8
1995-09-30,0.180,1995,9
1995-10-31,0.058,1995,10
1995-11-30,0.022,1995,11
1995-12-31,0.034,1995,12
1996-01-31,0.009,1996,1
1996-02-29,0.096,1996,2
1996-03-31,0.022,1996,3
1996-04-30,0.023,1996,4
1996-05-31,0.011,1996,5
1996-06-30,0.030,1996,6
1996-07-31,0.068,1996,7
1996-08-31,0.086,1996,8
1996-09-30,0.109,1996,9
1996-10-31,0.092,1996,10
1996-11-30,0.041,1996,11
1996-12-31,0.018,1996,12
1997-01-31,0.035,1997,1
1997-02-28,0.065,1997,2
1997-03-31,0.020,1997,3
1997-04-30,0.016,1997,4
1997-05-31,0.044,1997,5
1997-06-30,0.041,1997,6
1997-07-31,0.096,1997,7
1997-08-31,0.189,1997,8
1997-09-30,0.117,1997,9
1997-10-31,0.055,1997,10
1997-11-30,0.088,1997,11
1997-12-31,0.103,1997,12
1998-01-31,0.023,1998,1
1998-02-28,0.034,1998,2
1998-03-31,0.023,1998,3
1998-04-30,0.083,1998,4
1998-05-31,0.075,1998,5
1998-06-30,0.067,1998,6
1998-07-31,0.081,1998,7
1998-08-31,0.132,1998,8
1998-09-30,0.100,1998,9
1998-10-31,0.061,1998,10
1998-11-30,0.046,1998,11
1998-12-31,0.063,1998,12
1999-01-31,0.055,1999,1
1999-02-28,0.036,1999,2
1999-03-31,0.040,1999,3
1999-04-30,0.051,1999,4
1999-05-31,0.033,1999,5
1999-06-30,0.048,1999,6
1999-07-31,0.081,1999,7
1999-08-31,0.147,1999,8
1999-09-30,0.139,1999,9
1999-10-31,0.123,1999,10
1999-11-30,0.035,1999,11
1999-12-31,0.134,1999,12
2000-01-31,0.093,2000,1
2000-02-29,0.059,2000,2
2000-03-31,0.057,2000,3
2000-04-30,0.029,2000,4
2000-05-31,0.022,2000,5
2000-06-30,0.040,2000,6
2000-07-31,0.126,2000,7
2000-08-31,0.059,2000,8
2000-09-30,0.085,2000,9
2000-10-31,0.083,2000,10
2000-11-30,0.088,2000,11
2000-12-31,0.081,2000,12
2001-01-31,0.157,2001,1
2001-02-28,0.065,2001,2
2001-03-31,0.059,2001,3
2001-04-30,0.048,2001,4
2001-05-31,0.032,2001,5
2001-06-30,0.021,2001,6
2001-07-31,0.111,2001,7
2001-08-31,0.121,2001,8
2001-09-30,0.073,2001,9
2001-10-31,0.091,2001,10
2001-11-30,0.032,2001,11
2001-12-31,0.107,2001,12
2002-01-31,0.094,2002,1
2002-02-28,0.049,2002,2
2002-03-31,0.030,2002,3
2002-04-30,0.027,2002,4
2002-05-31,0.017,2002,5
2002-06-30,0.044,2002,6
2002-07-31,0.071,2002,7
2002-08-31,0.130,2002,8
2002-09-30,0.125,2002,9
2002-10-31,0.222,2002,10
2002-11-30,0.133,2002,11
2002-12-31,0.075,2002,12
2003-01-31,0.032,2003,1
2003-02-28,0.086,2003,2
2003-03-31,0.021,2003,3
2003-04-30,0.019,2003,4
2003-05-31,0.048,2003,5
2003-06-30,0.046,2003,6
2003-07-31,0.052,2003,7
2003-08-31,0.108,2003,8
2003-09-30,0.061,2003,9
2003-10-31,0.131,2003,10
2003-11-30,0.081,2003,11
2003-12-31,0.105,2003,12
2004-01-31,0.026,2004,1
2004-02-29,0.070,2004,2
2004-03-31,0.052,2004,3
2004-04-30,0.061,2004,4
2004-05-31,0.046,2004,5
2004-06-30,0.031,2004,6
2004-07-31,0.060,2004,7
2004-08-31,0.068,2004,8
2004-09-30,0.155,2004,9
2004-10-31,0.090,2004,10
2004-11-30,0.106,2004,11
2004-12-31,0.075,2004,12
2005-01-31,0.041,2005,1
2005-02-28,0.049,2005,2
2005-03-31,0.049,2005,3
2005-04-30,0.036,2005,4
2005-05-31,0.041,2005,5
2005-06-30,0.045,2005,6
2005-07-31,0.067,2005,7
2005-08-31,0.066,2005,8
2005-09-30,0.152,2005,9
2005-10-31,0.057,2005,10
2005-11-30,0.057,2005,11
2005-12-31,0.105,2005,12
2006-01-31,0.024,2006,1
2006-02-28,0.103,2006,2
2006-03-31,0.036,2006,3
2006-04-30,0.045,2006,4
2006-05-31,0.020,2006,5
