# Monthly mean ERA5 wind speed for PABE, lon/lat = 198.25/60.75
# Chris Waigl, cwaigl@alaska.edu, 2025-10-31 13:49:53.605229
Time,wsp10,year,month
1981-01-31,8.057,1981,1
1981-02-28,9.022,1981,2
1981-03-31,7.789,1981,3
1981-04-30,5.971,1981,4
1981-05-31,6.176,1981,5
1981-06-30,5.269,1981,6
1981-07-31,6.266,1981,7
1981-08-31,5.734,1981,8
1981-09-30,5.796,1981,9
1981-10-31,6.645,1981,10
1981-11-30,6.843,1981,11
1981-12-31,8.189,1981,12
1982-01-31,8.789,1982,1
1982-02-28,9.121,1982,2
1982-03-31,9.533,1982,3
1982-04-30,8.557,1982,4
1982-05-31,5.824,1982,5
1982-06-30,6.281,1982,6
1982-07-31,6.146,1982,7
1982-08-31,5.388,1982,8
1982-09-30,6.578,1982,9
1982-10-31,7.070,1982,10
1982-11-30,6.982,1982,11
1982-12-31,7.491,1982,12
1983-01-31,8.659,1983,1
1983-02-28,8.376,1983,2
1983-03-31,6.248,1983,3
1983-04-30,6.605,1983,4
1983-05-31,5.489,1983,5
1983-06-30,5.140,1983,6
1983-07-31,5.711,1983,7
1983-08-31,5.584,1983,8
1983-09-30,6.548,1983,9
1983-10-31,6.797,1983,10
1983-11-30,6.289,1983,11
1983-12-31,6.275,1983,12
1984-01-31,6.602,1984,1
1984-02-29,6.810,1984,2
1984-03-31,5.805,1984,3
1984-04-30,6.143,1984,4
1984-05-31,4.936,1984,5
1984-06-30,4.637,1984,6
1984-07-31,5.448,1984,7
1984-08-31,6.141,1984,8
1984-09-30,5.367,1984,9
1984-10-31,5.103,1984,10
1984-11-30,4.927,1984,11
1984-12-31,9.036,1984,12
1985-01-31,7.127,1985,1
1985-02-28,7.162,1985,2
1985-03-31,7.422,1985,3
1985-04-30,5.323,1985,4
1985-05-31,6.845,1985,5
1985-06-30,5.131,1985,6
1985-07-31,4.757,1985,7
1985-08-31,6.323,1985,8
1985-09-30,7.415,1985,9
1985-10-31,7.161,1985,10
1985-11-30,6.416,1985,11
1985-12-31,7.215,1985,12
1986-01-31,5.894,1986,1
1986-02-28,6.363,1986,2
1986-03-31,6.534,1986,3
1986-04-30,6.021,1986,4
1986-05-31,6.120,1986,5
1986-06-30,5.643,1986,6
1986-07-31,5.828,1986,7
1986-08-31,6.530,1986,8
1986-09-30,7.419,1986,9
1986-10-31,5.325,1986,10
1986-11-30,6.901,1986,11
1986-12-31,6.536,1986,12
1987-01-31,7.182,1987,1
1987-02-28,7.037,1987,2
1987-03-31,6.524,1987,3
1987-04-30,6.250,1987,4
1987-05-31,5.784,1987,5
1987-06-30,5.926,1987,6
1987-07-31,4.568,1987,7
1987-08-31,5.573,1987,8
1987-09-30,6.299,1987,9
1987-10-31,5.626,1987,10
1987-11-30,5.488,1987,11
1987-12-31,6.661,1987,12
1988-01-31,6.773,1988,1
1988-02-29,7.414,1988,2
1988-03-31,7.291,1988,3
1988-04-30,6.506,1988,4
1988-05-31,5.555,1988,5
1988-06-30,5.217,1988,6
1988-07-31,4.741,1988,7
1988-08-31,5.923,1988,8
1988-09-30,5.547,1988,9
1988-10-31,5.923,1988,10
1988-11-30,5.990,1988,11
1988-12-31,8.900,1988,12
1989-01-31,8.995,1989,1
1989-02-28,9.470,1989,2
1989-03-31,5.625,1989,3
1989-04-30,7.286,1989,4
1989-05-31,6.281,1989,5
1989-06-30,5.416,1989,6
1989-07-31,5.599,1989,7
1989-08-31,5.446,1989,8
1989-09-30,6.134,1989,9
1989-10-31,7.027,1989,10
1989-11-30,6.942,1989,11
1989-12-31,7.813,1989,12
1990-01-31,8.554,1990,1
1990-02-28,8.121,1990,2
1990-03-31,7.541,1990,3
1990-04-30,5.501,1990,4
