# Monthly mean ERA5 temperature for PANC, lon/lat = 210.0/61.25
# Chris Waigl, cwaigl@alaska.edu, 2025-10-29 02:01:46.014501
Time,t2m,year,month
1981-01-31,-0.650,1981,1
1981-02-28,-4.410,1981,2
1981-03-31,0.193,1981,3
1981-04-30,1.321,1981,4
1981-05-31,7.037,1981,5
1981-06-30,11.171,1981,6
1981-07-31,13.792,1981,7
1981-08-31,12.921,1981,8
1981-09-30,8.768,1981,9
1981-10-31,2.352,1981,10
1981-11-30,-4.750,1981,11
1981-12-31,-8.580,1981,12
1982-01-31,-14.102,1982,1
1982-02-28,-9.937,1982,2
1982-03-31,-3.861,1982,3
1982-04-30,-0.224,1982,4
1982-05-31,4.941,1982,5
1982-06-30,10.049,1982,6
1982-07-31,12.806,1982,7
1982-08-31,12.912,1982,8
1982-09-30,9.236,1982,9
1982-10-31,-2.452,1982,10
1982-11-30,-4.669,1982,11
1982-12-31,-6.059,1982,12
1983-01-31,-9.465,1983,1
1983-02-28,-5.992,1983,2
1983-03-31,-2.465,1983,3
1983-04-30,1.814,1983,4
1983-05-31,6.093,1983,5
1983-06-30,11.892,1983,6
1983-07-31,13.796,1983,7
1983-08-31,13.020,1983,8
1983-09-30,7.867,1983,9
1983-10-31,2.309,1983,10
1983-11-30,-2.917,1983,11
1983-12-31,-7.591,1983,12
1984-01-31,-7.944,1984,1
1984-02-29,-7.455,1984,2
1984-03-31,-0.002,1984,3
1984-04-30,1.467,1984,4
1984-05-31,5.858,1984,5
1984-06-30,11.665,1984,6
1984-07-31,13.759,1984,7
1984-08-31,13.445,1984,8
1984-09-30,9.991,1984,9
1984-10-31,1.951,1984,10
1984-11-30,-6.452,1984,11
1984-12-31,-6.973,1984,12
1985-01-31,-1.649,1985,1
1985-02-28,-10.728,1985,2
1985-03-31,-3.329,1985,3
1985-04-30,-2.916,1985,4
1985-05-31,4.511,1985,5
1985-06-30,9.040,1985,6
1985-07-31,13.558,1985,7
1985-08-31,12.382,1985,8
1985-09-30,8.916,1985,9
1985-10-31,-0.055,1985,10
1985-11-30,-8.014,1985,11
1985-12-31,-2.538,1985,12
1986-01-31,-4.406,1986,1
1986-02-28,-6.163,1986,2
1986-03-31,-5.498,1986,3
1986-04-30,-1.890,1986,4
1986-05-31,5.612,1986,5
1986-06-30,10.933,1986,6
1986-07-31,14.169,1986,7
1986-08-31,12.340,1986,8
1986-09-30,9.741,1986,9
1986-10-31,3.953,1986,10
1986-11-30,-4.371,1986,11
1986-12-31,-3.139,1986,12
1987-01-31,-5.239,1987,1
1987-02-28,-4.241,1987,2
1987-03-31,-4.318,1987,3
1987-04-30,1.529,1987,4
1987-05-31,6.040,1987,5
1987-06-30,10.070,1987,6
1987-07-31,13.296,1987,7
1987-08-31,13.726,1987,8
1987-09-30,8.557,1987,9
1987-10-31,3.447,1987,10
1987-11-30,-2.422,1987,11
1987-12-31,-8.006,1987,12
1988-01-31,-7.687,1988,1
1988-02-29,-5.179,1988,2
1988-03-31,-1.170,1988,3
1988-04-30,1.254,1988,4
1988-05-31,5.552,1988,5
1988-06-30,11.325,1988,6
1988-07-31,14.038,1988,7
1988-08-31,13.098,1988,8
1988-09-30,8.700,1988,9
1988-10-31,1.181,1988,10
1988-11-30,-6.567,1988,11
1988-12-31,-5.859,1988,12
1989-01-31,-16.504,1989,1
1989-02-28,-8.478,1989,2
1989-03-31,-5.801,1989,3
1989-04-30,1.973,1989,4
1989-05-31,5.551,1989,5
1989-06-30,10.712,1989,6
1989-07-31,14.261,1989,7
1989-08-31,13.770,1989,8
1989-09-30,10.128,1989,9
1989-10-31,1.388,1989,10
1989-11-30,-7.695,1989,11
1989-12-31,-4.221,1989,12
1990-01-31,-9.603,1990,1
1990-02-28,-14.697,1990,2
1990-03-31,-2.897,1990,3
1990-04-30,2.749,1990,4
1990-05-31,7.214,1990,5
1990-06-30,12.167,1990,6
1990-07-31,14.413,1990,7
1990-08-31,13.898,1990,8
1990-09-30,9.824,1990,9
1990-10-31,0.838,1990,10
1990-11-30,-11.052,1990,11
1990-12-31,-8.582,1990,12
1991-01-31,-8.826,1991,1
1991-02-28,-7.282,1991,2
1991-03-31,-4.110,1991,3
1991-04-30,1.879,1991,4
1991-05-31,6.170,1991,5
1991-06-30,11.815,1991,6
1991-07-31,13.110,1991,7
1991-08-31,12.565,1991,8
1991-09-30,9.995,1991,9
1991-10-31,0.883,1991,10
1991-11-30,-3.788,1991,11
1991-12-31,-6.478,1991,12
1992-01-31,-6.050,1992,1
1992-02-29,-9.034,1992,2
1992-03-31,-4.484,1992,3
1992-04-30,0.517,1992,4
1992-05-31,5.306,1992,5
1992-06-30,11.706,1992,6
1992-07-31,14.062,1992,7
1992-08-31,12.836,1992,8
1992-09-30,5.346,1992,9
1992-10-31,0.940,1992,10
1992-11-30,-2.386,1992,11
1992-12-31,-9.701,1992,12
1993-01-31,-9.094,1993,1
1993-02-28,-6.149,1993,2
1993-03-31,-2.343,1993,3
1993-04-30,3.252,1993,4
1993-05-31,7.800,1993,5
1993-06-30,12.080,1993,6
1993-07-31,15.309,1993,7
1993-08-31,13.921,1993,8
1993-09-30,9.199,1993,9
1993-10-31,3.670,1993,10
1993-11-30,-3.317,1993,11
1993-12-31,-4.658,1993,12
1994-01-31,-6.002,1994,1
1994-02-28,-9.294,1994,2
1994-03-31,-4.458,1994,3
1994-04-30,2.156,1994,4
1994-05-31,6.126,1994,5
1994-06-30,11.709,1994,6
1994-07-31,13.955,1994,7
1994-08-31,14.257,1994,8
1994-09-30,9.274,1994,9
1994-10-31,0.458,1994,10
1994-11-30,-8.254,1994,11
1994-12-31,-8.572,1994,12
1995-01-31,-9.104,1995,1
1995-02-28,-6.427,1995,2
1995-03-31,-7.753,1995,3
1995-04-30,2.940,1995,4
1995-05-31,6.739,1995,5
1995-06-30,11.661,1995,6
1995-07-31,13.233,1995,7
1995-08-31,13.297,1995,8
1995-09-30,11.540,1995,9
1995-10-31,3.522,1995,10
1995-11-30,-6.737,1995,11
1995-12-31,-7.850,1995,12
1996-01-31,-13.586,1996,1
1996-02-29,-8.662,1996,2
1996-03-31,-2.521,1996,3
1996-04-30,1.481,1996,4
1996-05-31,7.503,1996,5
1996-06-30,11.530,1996,6
1996-07-31,14.162,1996,7
1996-08-31,13.130,1996,8
1996-09-30,8.024,1996,9
1996-10-31,-3.411,1996,10
1996-11-30,-5.854,1996,11
1996-12-31,-10.201,1996,12
1997-01-31,-9.765,1997,1
1997-02-28,-1.565,1997,2
1997-03-31,-5.070,1997,3
1997-04-30,2.012,1997,4
1997-05-31,7.018,1997,5
1997-06-30,12.233,1997,6
1997-07-31,14.971,1997,7
1997-08-31,14.287,1997,8
1997-09-30,10.443,1997,9
1997-10-31,-0.260,1997,10
1997-11-30,-2.217,1997,11
1997-12-31,-7.764,1997,12
