# Monthly mean ERA5 temperature for PAFA, lon/lat = 212.0/64.75
# Chris Waigl, cwaigl@alaska.edu, 2025-10-29 02:01:44.897177
Time,t2m,year,month
1981-01-31,-5.588,1981,1
1981-02-28,-14.615,1981,2
1981-03-31,-2.478,1981,3
1981-04-30,0.214,1981,4
1981-05-31,13.566,1981,5
1981-06-30,15.156,1981,6
1981-07-31,14.099,1981,7
1981-08-31,12.658,1981,8
1981-09-30,6.469,1981,9
1981-10-31,-0.529,1981,10
1981-11-30,-10.754,1981,11
1981-12-31,-19.047,1981,12
1982-01-31,-25.098,1982,1
1982-02-28,-19.184,1982,2
1982-03-31,-10.408,1982,3
1982-04-30,-2.739,1982,4
1982-05-31,8.122,1982,5
1982-06-30,15.443,1982,6
1982-07-31,17.088,1982,7
1982-08-31,13.702,1982,8
1982-09-30,9.297,1982,9
1982-10-31,-8.158,1982,10
1982-11-30,-14.683,1982,11
1982-12-31,-16.050,1982,12
1983-01-31,-23.307,1983,1
1983-02-28,-16.100,1983,2
1983-03-31,-12.596,1983,3
1983-04-30,1.889,1983,4
1983-05-31,10.732,1983,5
1983-06-30,17.653,1983,6
1983-07-31,18.196,1983,7
1983-08-31,12.332,1983,8
1983-09-30,4.841,1983,9
1983-10-31,-4.885,1983,10
1983-11-30,-10.212,1983,11
1983-12-31,-17.407,1983,12
1984-01-31,-20.869,1984,1
1984-02-29,-25.886,1984,2
1984-03-31,-8.086,1984,3
1984-04-30,-2.127,1984,4
1984-05-31,8.698,1984,5
1984-06-30,16.532,1984,6
1984-07-31,15.647,1984,7
1984-08-31,11.863,1984,8
1984-09-30,7.570,1984,9
1984-10-31,-3.891,1984,10
1984-11-30,-18.344,1984,11
1984-12-31,-18.398,1984,12
1985-01-31,-9.098,1985,1
1985-02-28,-22.281,1985,2
1985-03-31,-7.935,1985,3
1985-04-30,-6.498,1985,4
1985-05-31,7.917,1985,5
1985-06-30,13.906,1985,6
1985-07-31,17.621,1985,7
1985-08-31,13.242,1985,8
1985-09-30,6.153,1985,9
1985-10-31,-6.815,1985,10
1985-11-30,-17.758,1985,11
1985-12-31,-11.633,1985,12
1986-01-31,-17.699,1986,1
1986-02-28,-14.250,1986,2
1986-03-31,-15.084,1986,3
1986-04-30,-5.728,1986,4
1986-05-31,8.730,1986,5
1986-06-30,16.901,1986,6
1986-07-31,17.520,1986,7
1986-08-31,12.210,1986,8
1986-09-30,7.497,1986,9
1986-10-31,-3.296,1986,10
1986-11-30,-16.010,1986,11
1986-12-31,-13.149,1986,12
1987-01-31,-16.483,1987,1
1987-02-28,-15.368,1987,2
1987-03-31,-11.147,1987,3
1987-04-30,0.214,1987,4
1987-05-31,10.462,1987,5
1987-06-30,16.862,1987,6
1987-07-31,18.055,1987,7
1987-08-31,14.613,1987,8
1987-09-30,6.692,1987,9
1987-10-31,0.973,1987,10
1987-11-30,-14.247,1987,11
1987-12-31,-18.676,1987,12
1988-01-31,-18.139,1988,1
1988-02-29,-13.402,1988,2
1988-03-31,-8.503,1988,3
1988-04-30,-0.108,1988,4
1988-05-31,10.697,1988,5
1988-06-30,16.401,1988,6
1988-07-31,18.195,1988,7
1988-08-31,14.733,1988,8
1988-09-30,7.004,1988,9
1988-10-31,-8.586,1988,10
1988-11-30,-19.324,1988,11
1988-12-31,-13.806,1988,12
1989-01-31,-30.128,1989,1
1989-02-28,-13.919,1989,2
1989-03-31,-14.306,1989,3
1989-04-30,1.355,1989,4
1989-05-31,8.929,1989,5
1989-06-30,16.126,1989,6
1989-07-31,18.429,1989,7
1989-08-31,16.087,1989,8
1989-09-30,8.811,1989,9
1989-10-31,-3.372,1989,10
1989-11-30,-21.574,1989,11
1989-12-31,-14.252,1989,12
1990-01-31,-23.337,1990,1
1990-02-28,-29.911,1990,2
1990-03-31,-7.027,1990,3
1990-04-30,2.760,1990,4
1990-05-31,12.975,1990,5
1990-06-30,16.956,1990,6
1990-07-31,18.892,1990,7
1990-08-31,15.382,1990,8
1990-09-30,7.034,1990,9
1990-10-31,-4.255,1990,10
1990-11-30,-19.548,1990,11
1990-12-31,-20.974,1990,12
1991-01-31,-18.354,1991,1
1991-02-28,-18.553,1991,2
1991-03-31,-9.992,1991,3
1991-04-30,1.515,1991,4
1991-05-31,10.245,1991,5
1991-06-30,17.358,1991,6
1991-07-31,15.898,1991,7
1991-08-31,12.245,1991,8
1991-09-30,9.320,1991,9
1991-10-31,-2.832,1991,10
1991-11-30,-17.035,1991,11
1991-12-31,-18.094,1991,12
1992-01-31,-18.249,1992,1
1992-02-29,-20.956,1992,2
1992-03-31,-8.969,1992,3
1992-04-30,-2.898,1992,4
1992-05-31,5.518,1992,5
1992-06-30,15.908,1992,6
1992-07-31,17.238,1992,7
1992-08-31,14.621,1992,8
1992-09-30,-0.592,1992,9
1992-10-31,-7.439,1992,10
1992-11-30,-11.499,1992,11
1992-12-31,-20.471,1992,12
1993-01-31,-18.615,1993,1
1993-02-28,-15.259,1993,2
1993-03-31,-7.446,1993,3
1993-04-30,3.705,1993,4
1993-05-31,11.546,1993,5
1993-06-30,17.143,1993,6
1993-07-31,19.540,1993,7
1993-08-31,14.020,1993,8
1993-09-30,6.844,1993,9
1993-10-31,-1.167,1993,10
1993-11-30,-12.738,1993,11
1993-12-31,-14.581,1993,12
1994-01-31,-16.645,1994,1
1994-02-28,-20.017,1994,2
1994-03-31,-12.262,1994,3
1994-04-30,0.330,1994,4
1994-05-31,11.658,1994,5
1994-06-30,14.691,1994,6
1994-07-31,18.404,1994,7
1994-08-31,16.011,1994,8
1994-09-30,6.754,1994,9
1994-10-31,-6.150,1994,10
1994-11-30,-16.733,1994,11
1994-12-31,-20.789,1994,12
1995-01-31,-19.890,1995,1
1995-02-28,-16.341,1995,2
1995-03-31,-14.232,1995,3
1995-04-30,3.754,1995,4
1995-05-31,12.275,1995,5
1995-06-30,15.872,1995,6
1995-07-31,17.562,1995,7
1995-08-31,13.977,1995,8
1995-09-30,11.386,1995,9
1995-10-31,-1.422,1995,10
1995-11-30,-18.057,1995,11
1995-12-31,-20.204,1995,12
1996-01-31,-25.502,1996,1
1996-02-29,-17.900,1996,2
1996-03-31,-8.206,1996,3
1996-04-30,-0.513,1996,4
1996-05-31,9.988,1996,5
1996-06-30,16.097,1996,6
1996-07-31,17.619,1996,7
1996-08-31,11.729,1996,8
1996-09-30,5.448,1996,9
1996-10-31,-11.327,1996,10
1996-11-30,-16.700,1996,11
1996-12-31,-22.692,1996,12
1997-01-31,-23.661,1997,1
1997-02-28,-9.334,1997,2
1997-03-31,-14.686,1997,3
1997-04-30,0.898,1997,4
1997-05-31,9.617,1997,5
1997-06-30,17.015,1997,6
1997-07-31,18.194,1997,7
1997-08-31,14.713,1997,8
1997-09-30,9.857,1997,9
1997-10-31,-8.197,1997,10
1997-11-30,-10.699,1997,11
1997-12-31,-19.575,1997,12
1998-01-31,-22.784,1998,1
1998-02-28,-14.554,1998,2
1998-03-31,-6.316,1998,3
1998-04-30,3.686,1998,4
1998-05-31,10.064,1998,5
1998-06-30,15.056,1998,6
1998-07-31,17.009,1998,7
1998-08-31,11.932,1998,8
1998-09-30,7.809,1998,9
1998-10-31,-2.023,1998,10
1998-11-30,-13.059,1998,11
