ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
PABE: T2_mean_12km,0.05,1.54 (**),-0.48,1.05 (**),0.58 (*),0.43 (**),0.11,0.3 (*),0.35 (*),1.19 (**),0.69,0.15
PABE: T2_mean_4km,0.03,1.52 (**),-0.49,1.07 (**),0.58 (*),0.42 (**),0.11,0.3 (*),0.36 (*),1.19 (**),0.68,0.12
PABE: Tmean,-0.16,1.35 (*),-0.57,0.93 (**),0.49 (*),0.36 (**),0.12,0.28,0.33 (*),1.07 (**),0.5,-0.06
PABE: Tmean_C,-0.11,1.22 (*),-0.61,0.93 (*),0.59 (**),0.42 (**),0.15,0.31 (*),0.36 (*),1.04 (**),0.45,-0.01
PABR: T2_mean_12km,0.48,0.96,1.0 (**),1.16 (**),0.46 (**),0.02,0.47 (**),0.71 (**),1.18 (**),2.65 (**),2.85 (**),0.9 (**)
PABR: T2_mean_4km,0.5,1.01,1.02 (**),1.19 (**),0.51 (**),0.05,0.34,0.51 (**),1.16 (**),2.65 (**),2.74 (**),0.85 (**)
PABR: Tmean,-0.16,1.35 (*),-0.57,0.93 (**),0.49 (*),0.36 (**),0.12,0.28,0.33 (*),1.07 (**),0.5,-0.06
PABR: Tmean_C,0.81 (*),1.24 (**),1.09 (**),1.21 (**),0.68 (**),0.18,0.47 (**),0.55 (**),1.06 (**),2.34 (**),2.65 (**),1.03 (**)
PAFA: T2_mean_12km,0.42,1.31 (**),0.42,0.9 (**),0.78 (**),0.11,-0.13,0.16,0.35 (*),1.21 (**),1.14 (**),0.19
PAFA: T2_mean_4km,-0.26,1.35 (**),-0.01,1.02 (**),0.64 (**),0.21,0.11,0.23,0.39,1.17 (**),0.89 (*),0.15
PAFA: Tmean,-0.16,1.35 (*),-0.57,0.93 (**),0.49 (*),0.36 (**),0.12,0.28,0.33 (*),1.07 (**),0.5,-0.06
PAFA: Tmean_C,-0.81,0.52,-0.75,0.33,0.4,0.05,0.04,0.31,0.37,1.05 (**),0.49,-0.29
PANC: T2_mean_12km,-0.33,0.62,-0.26,0.69 (**),1.21 (**),0.45 (**),0.43 (**),0.38 (**),0.4 (**),1.13 (**),0.91 (**),0.35
PANC: T2_mean_4km,-0.25,0.59,-0.21,0.81 (**),1.21 (**),0.38 (**),0.43 (**),0.39 (**),0.42 (**),1.13 (**),0.96 (**),0.43
PANC: Tmean,-0.16,1.35 (*),-0.57,0.93 (**),0.49 (*),0.36 (**),0.12,0.28,0.33 (*),1.07 (**),0.5,-0.06
PANC: Tmean_C,-0.22,0.54,-0.37,0.38,0.26 (*),0.3 (*),0.44 (**),0.45 (**),0.5 (**),1.01 (**),0.71,0.26
