Time,T2_mean
1981-01-01,273.229
1981-01-02,264.235
1981-01-03,269.591
1981-01-04,272.764
1981-01-05,271.546
1981-01-06,265.002
1981-01-07,274.130
1981-01-08,269.908
1981-01-09,268.467
1981-01-10,266.787
1981-01-11,266.988
1981-01-12,266.889
1981-01-13,268.575
1981-01-14,268.740
1981-01-15,271.096
1981-01-16,267.505
1981-01-17,259.845
1981-01-18,259.605
1981-01-19,258.112
1981-01-20,253.369
1981-01-21,261.092
1981-01-22,252.511
1981-01-23,266.490
1981-01-24,273.123
1981-01-25,272.403
1981-01-26,268.059
1981-01-27,263.375
1981-01-28,267.048
1981-01-29,274.068
1981-01-30,271.946
1981-01-31,264.951
1981-02-01,268.624
1981-02-02,271.194
1981-02-03,270.401
1981-02-04,269.173
1981-02-05,274.065
1981-02-06,268.955
1981-02-07,273.023
1981-02-08,274.669
1981-02-09,273.366
1981-02-10,265.372
1981-02-11,258.058
1981-02-12,252.323
1981-02-13,254.063
1981-02-14,248.047
1981-02-15,244.526
1981-02-16,239.390
1981-02-17,242.821
1981-02-18,242.379
1981-02-19,238.295
1981-02-20,239.401
1981-02-21,242.094
1981-02-22,245.481
1981-02-23,242.205
1981-02-24,267.012
1981-02-25,273.035
1981-02-26,269.575
1981-02-27,271.135
1981-02-28,273.947
1981-03-01,272.347
1981-03-02,269.917
1981-03-03,261.193
1981-03-04,263.502
1981-03-05,265.949
1981-03-06,267.384
1981-03-07,265.578
1981-03-08,264.504
1981-03-09,270.554
1981-03-10,269.338
1981-03-11,267.104
1981-03-12,268.871
1981-03-13,273.048
1981-03-14,272.334
1981-03-15,272.773
1981-03-16,273.939
1981-03-17,272.051
1981-03-18,271.109
1981-03-19,272.358
1981-03-20,272.056
1981-03-21,268.946
1981-03-22,263.289
1981-03-23,261.421
1981-03-24,266.901
1981-03-25,267.384
1981-03-26,272.888
1981-03-27,272.011
1981-03-28,269.062
1981-03-29,273.287
1981-03-30,271.307
1981-03-31,272.221
1981-04-01,271.958
1981-04-02,271.473
1981-04-03,268.926
1981-04-04,266.476
1981-04-05,271.338
1981-04-06,273.287
1981-04-07,267.398
1981-04-08,270.416
1981-04-09,271.697
1981-04-10,268.774
1981-04-11,268.886
1981-04-12,267.499
1981-04-13,264.913
1981-04-14,262.353
1981-04-15,262.232
1981-04-16,264.886
1981-04-17,269.715
1981-04-18,273.548
1981-04-19,275.097
1981-04-20,273.433
1981-04-21,271.448
1981-04-22,268.168
1981-04-23,266.618
1981-04-24,271.717
1981-04-25,273.474
1981-04-26,272.930
1981-04-27,273.057
1981-04-28,275.444
1981-04-29,275.127
1981-04-30,275.525
1981-05-01,273.913
1981-05-02,274.945
1981-05-03,274.767
1981-05-04,275.578
1981-05-05,277.610
1981-05-06,280.067
1981-05-07,282.370
1981-05-08,283.864
1981-05-09,283.371
1981-05-10,279.020
1981-05-11,281.067
1981-05-12,283.473
1981-05-13,284.431
1981-05-14,283.949
1981-05-15,284.362
1981-05-16,285.449
1981-05-17,282.070
1981-05-18,281.599
1981-05-19,281.519
1981-05-20,280.286
1981-05-21,279.664
1981-05-22,280.717
1981-05-23,281.524
1981-05-24,282.225
1981-05-25,281.519
1981-05-26,286.526
1981-05-27,289.463
1981-05-28,285.273
1981-05-29,286.283
1981-05-30,289.584
1981-05-31,287.230
1981-06-01,286.276
1981-06-02,285.036
1981-06-03,285.825
1981-06-04,284.648
1981-06-05,283.476
1981-06-06,285.628
1981-06-07,286.793
1981-06-08,288.051
1981-06-09,288.660
1981-06-10,281.889
1981-06-11,280.219
1981-06-12,279.730
1981-06-13,281.135
1981-06-14,282.394
1981-06-15,281.606
1981-06-16,283.121
1981-06-17,287.640
1981-06-18,289.586
1981-06-19,283.687
1981-06-20,280.257
1981-06-21,282.038
1981-06-22,281.378
1981-06-23,284.330
1981-06-24,288.341
1981-06-25,288.488
1981-06-26,287.327
1981-06-27,284.094
1981-06-28,286.619
1981-06-29,281.636
1981-06-30,280.797
1981-07-01,283.875
1981-07-02,282.293
1981-07-03,282.500
1981-07-04,284.419
1981-07-05,283.669
1981-07-06,281.479
1981-07-07,282.468
1981-07-08,281.178
1981-07-09,282.521
1981-07-10,284.818
1981-07-11,284.433
1981-07-12,283.056
1981-07-13,284.459
1981-07-14,283.593
1981-07-15,285.478
1981-07-16,287.043
1981-07-17,284.101
1981-07-18,284.681
1981-07-19,285.207
1981-07-20,284.798
1981-07-21,286.965
1981-07-22,289.917
1981-07-23,290.206
1981-07-24,289.476
1981-07-25,287.993
1981-07-26,285.292
1981-07-27,284.167
1981-07-28,284.877
1981-07-29,285.188
1981-07-30,285.381
1981-07-31,284.335
1981-08-01,284.211
1981-08-02,282.868
1981-08-03,286.286
1981-08-04,288.133
1981-08-05,289.047
1981-08-06,288.655
1981-08-07,289.094
1981-08-08,288.060
1981-08-09,285.968
1981-08-10,285.184
1981-08-11,282.720
1981-08-12,283.067
1981-08-13,281.479
1981-08-14,279.974
1981-08-15,279.551
1981-08-16,279.595
1981-08-17,282.696
1981-08-18,282.749
1981-08-19,281.721
1981-08-20,280.300
1981-08-21,280.895
1981-08-22,282.472
1981-08-23,285.615
1981-08-24,286.414
1981-08-25,287.428
1981-08-26,290.501
1981-08-27,289.078
1981-08-28,289.041
1981-08-29,288.563
1981-08-30,288.120
1981-08-31,286.793
1981-09-01,286.862
1981-09-02,284.554
1981-09-03,284.968
1981-09-04,285.053
1981-09-05,284.746
1981-09-06,284.885
1981-09-07,284.031
1981-09-08,283.634
1981-09-09,281.647
1981-09-10,281.470
1981-09-11,281.410
1981-09-12,280.488
1981-09-13,278.640
1981-09-14,279.894
1981-09-15,277.951
1981-09-16,275.935
1981-09-17,275.681
1981-09-18,276.529
1981-09-19,277.504
1981-09-20,275.703
1981-09-21,275.415
1981-09-22,280.352
1981-09-23,278.873
1981-09-24,275.136
1981-09-25,275.630
1981-09-26,278.742
1981-09-27,276.396
1981-09-28,272.814
1981-09-29,272.300
1981-09-30,272.505
1981-10-01,274.094
1981-10-02,278.334
1981-10-03,277.124
1981-10-04,272.681
1981-10-05,271.698
1981-10-06,270.493
1981-10-07,269.842
1981-10-08,269.841
1981-10-09,269.924
1981-10-10,270.101
1981-10-11,274.052
1981-10-12,273.441
1981-10-13,272.423
1981-10-14,271.971
1981-10-15,272.216
1981-10-16,271.586
1981-10-17,270.121
1981-10-18,267.691
1981-10-19,271.643
1981-10-20,277.023
1981-10-21,279.604
1981-10-22,279.292
1981-10-23,280.665
1981-10-24,277.328
1981-10-25,276.234
1981-10-26,274.656
1981-10-27,273.021
1981-10-28,265.819
1981-10-29,264.063
1981-10-30,264.985
1981-10-31,264.375
1981-11-01,264.176
1981-11-02,262.949
1981-11-03,264.590
1981-11-04,261.744
1981-11-05,260.926
1981-11-06,263.081
1981-11-07,274.498
1981-11-08,273.795
1981-11-09,272.417
1981-11-10,272.320
1981-11-11,273.046
1981-11-12,269.536
1981-11-13,269.946
1981-11-14,266.436
1981-11-15,260.946
1981-11-16,258.903
1981-11-17,260.847
1981-11-18,261.044
1981-11-19,258.899
1981-11-20,263.053
1981-11-21,263.402
1981-11-22,256.086
1981-11-23,260.240
1981-11-24,267.893
1981-11-25,265.993
1981-11-26,275.189
1981-11-27,273.740
1981-11-28,265.002
1981-11-29,262.511
1981-11-30,263.832
1981-12-01,260.168
1981-12-02,254.305
1981-12-03,243.981
1981-12-04,245.404
1981-12-05,250.406
1981-12-06,249.038
1981-12-07,258.078
1981-12-08,270.481
1981-12-09,263.433
1981-12-10,252.577
1981-12-11,252.059
1981-12-12,257.422
1981-12-13,265.455
1981-12-14,265.030
1981-12-15,262.513
1981-12-16,269.428
1981-12-17,262.493
1981-12-18,254.617
1981-12-19,250.350
1981-12-20,251.203
1981-12-21,260.081
1981-12-22,273.202
1981-12-23,268.557
1981-12-24,258.489
